date,close
2018-01-02,1.309
2018-01-03,1.3131
2018-01-04,1.3252
2018-01-05,1.3332
2018-01-08,1.3372
2018-01-09,1.3413
2018-01-10,1.3292
2018-01-11,1.3372
2018-01-12,1.3413
2018-01-15,1.3413
2018-01-16,1.3493
2018-01-17,1.3453
2018-01-18,1.3453
2018-01-19,1.3453
2018-01-22,1.3453
2018-01-23,1.3453
2018-01-24,1.3493
2018-01-25,1.3453
2018-01-26,1.2768
2018-01-29,1.2889
2018-01-30,1.2929
2018-01-31,1.301
2018-02-01,1.309
2018-02-02,1.3372
2018-02-05,1.301
2018-02-06,1.2808
2018-02-07,1.2688
2018-02-08,1.2647
2018-02-09,1.2768
2018-02-12,1.2325
2018-02-13,1.2365
2018-02-14,1.2003
2018-02-15,1.2164
2018-02-16,1.2245
2018-02-19,1.1963
2018-02-20,1.2003
2018-02-21,1.2003
2018-02-22,1.2043
2018-02-23,1.1842
2018-02-26,1.2003
2018-02-27,1.2043
2018-02-28,1.2446
2018-03-01,1.2325
2018-03-02,1.1358
2018-03-05,1.16
2018-03-06,1.164
2018-03-07,1.1761
2018-03-08,1.1761
2018-03-09,1.1721
2018-03-12,1.1681
2018-03-13,1.1802
2018-03-14,1.164
2018-03-15,1.1721
2018-03-16,1.2043
2018-03-19,1.1842
2018-03-20,1.1761
2018-03-21,1.1802
2018-03-22,1.1761
2018-03-23,1.1802
2018-03-26,1.1802
2018-03-27,1.1882
2018-03-28,1.164
2018-03-29,1.156
2018-04-03,1.0553
2018-04-04,1.1036
2018-04-05,1.1157
2018-04-06,1.1197
2018-04-09,1.1197
2018-04-10,1.1399
2018-04-11,1.1399
2018-04-12,1.1399
2018-04-13,1.1238
2018-04-16,1.0996
2018-04-17,1.0915
2018-04-18,1.0956
2018-04-19,1.0553
2018-04-20,1.0915
2018-04-23,1.0956
2018-04-24,1.0956
2018-04-25,1.1157
2018-04-26,1.0513
2018-04-27,1.0553
2018-04-30,1.0352
2018-05-02,1.0271
2018-05-03,1.0311
2018-05-04,1.0352
2018-05-07,1.0352
2018-05-08,0.9747
2018-05-09,1.0472
2018-05-10,1.0472
2018-05-11,1.0472
2018-05-14,1.0472
2018-05-15,1.019
2018-05-16,1.0271
2018-05-17,1.0271
2018-05-18,1.0231
2018-05-22,1.019
2018-05-23,1.007
2018-05-24,0.9908
2018-05-25,0.9707
2018-05-28,0.9546
2018-05-29,0.9425
2018-05-30,0.9465
2018-05-31,0.9627
2018-06-01,0.9908
2018-06-04,0.9828
2018-06-05,0.9747
2018-06-06,0.9345
2018-06-07,0.9828
2018-06-08,0.9345
2018-06-11,0.9506
2018-06-12,0.9707
2018-06-13,0.9465
2018-06-14,0.9465
2018-06-15,0.9465
2018-06-18,0.9022
2018-06-19,0.9284
2018-06-20,0.9465
2018-06-21,0.9465
2018-06-22,0.9264
2018-06-25,0.9103
2018-06-26,0.8438
2018-06-27,0.9304
2018-06-28,0.9083
2018-06-29,0.8539
