date,close
2021-05-03,17.7
2021-05-04,17.8
2021-05-05,18.0
2021-05-06,17.9
2021-05-07,18.0
2021-05-10,17.5
2021-05-11,17.5
2021-05-12,16.9
2021-05-13,16.7
2021-05-14,16.8
2021-05-17,16.8
2021-05-18,16.9
2021-05-19,17.0
2021-05-20,16.9
2021-05-21,16.9
2021-05-25,16.6
2021-05-26,16.5
2021-05-27,16.5
2021-05-28,16.4
2021-05-31,16.6
2021-06-01,16.6
2021-06-02,16.4
2021-06-03,16.4
2021-06-04,16.4
2021-06-07,17.1
2021-06-08,17.1
2021-06-09,17.1
2021-06-10,17.1
2021-06-11,17.1
2021-06-14,17.1
2021-06-15,17.7
2021-06-16,18.9
2021-06-17,22.8
2021-06-18,22.2
2021-06-21,21.6
2021-06-22,21.0
2021-06-23,20.8
2021-06-24,21.2
2021-06-25,21.2
2021-06-28,21.6
2021-06-29,21.4
2021-06-30,21.2
2021-07-01,20.4
2021-07-02,20.4
2021-07-05,20.4
2021-07-06,20.6
2021-07-07,20.6
2021-07-08,20.0
2021-07-09,20.0
2021-07-12,20.4
2021-07-13,20.4
2021-07-14,20.4
2021-07-15,20.2
2021-07-16,21.4
2021-07-19,21.2
2021-07-20,21.4
2021-07-21,21.4
2021-07-22,21.4
2021-07-23,20.8
2021-07-26,20.8
2021-07-27,20.4
2021-07-28,20.4
2021-07-29,20.4
2021-07-30,20.4
2021-08-02,20.4
2021-08-03,20.4
2021-08-04,20.4
2021-08-05,19.5
2021-08-06,19.5
2021-08-09,19.5
2021-08-10,19.8
2021-08-11,19.6
2021-08-12,19.6
2021-08-13,19.6
2021-08-16,19.3
2021-08-17,19.4
2021-08-18,19.7
2021-08-19,19.7
2021-08-20,19.6
2021-08-23,19.6
2021-08-24,19.8
2021-08-25,20.0
2021-08-26,20.4
2021-08-27,20.8
2021-08-30,20.6
2021-08-31,20.6
2021-09-01,20.6
2021-09-02,20.6
2021-09-03,20.4
2021-09-06,20.6
2021-09-07,20.4
2021-09-08,20.2
2021-09-09,20.2
2021-09-10,20.4
2021-09-13,20.4
2021-09-14,20.4
2021-09-15,20.4
2021-09-16,20.4
2021-09-17,19.9
2021-09-20,19.0
2021-09-21,19.6
2021-09-22,20.2
2021-09-23,20.2
2021-09-24,20.4
2021-09-27,20.4
2021-09-28,20.4
2021-09-29,20.6
2021-09-30,19.6
2021-10-01,20.2
2021-10-04,20.0
2021-10-05,20.6
2021-10-06,20.6
2021-10-07,20.8
2021-10-08,20.8
2021-10-11,20.8
2021-10-12,21.0
2021-10-13,21.0
2021-10-14,20.6
2021-10-15,20.8
2021-10-18,20.8
2021-10-19,20.8
2021-10-20,20.8
2021-10-21,20.6
2021-10-22,21.0
2021-10-25,23.0
2021-10-26,22.8
2021-10-27,23.0
2021-10-28,23.0
2021-10-29,23.0
2021-11-01,23.0
2021-11-02,22.8
2021-11-03,22.6
2021-11-04,22.6
2021-11-05,22.0
2021-11-08,22.0
2021-11-09,22.0
2021-11-10,21.8
2021-11-11,22.0
2021-11-12,21.6
2021-11-15,21.8
2021-11-16,21.8
2021-11-17,22.2
2021-11-18,22.4
2021-11-19,22.4
2021-11-22,22.4
2021-11-23,22.4
2021-11-24,22.4
2021-11-25,22.2
2021-11-26,22.2
2021-11-29,22.0
2021-11-30,22.0
2021-12-01,22.0
2021-12-02,21.8
2021-12-03,21.8
2021-12-06,21.8
2021-12-07,21.8
2021-12-08,21.2
2021-12-09,21.8
2021-12-10,21.8
2021-12-13,21.8
2021-12-14,21.8
2021-12-15,21.8
2021-12-16,20.8
2021-12-17,20.8
2021-12-20,20.8
2021-12-21,20.6
2021-12-22,21.0
2021-12-23,20.8
2021-12-27,20.8
2021-12-28,20.6
2021-12-29,20.6
2021-12-30,20.4
2022-01-03,21.2
2022-01-04,20.2
2022-01-05,20.4
2022-01-06,20.0
2022-01-07,20.8
2022-01-10,20.6
2022-01-11,20.6
2022-01-12,20.6
2022-01-13,20.0
2022-01-14,20.2
2022-01-17,19.6
2022-01-18,19.3
2022-01-19,19.5
2022-01-20,19.5
2022-01-21,19.2
2022-01-24,18.3
2022-01-25,18.4
2022-01-26,20.8
2022-01-27,20.8
2022-01-28,21.0
2022-01-31,20.4
2022-02-01,21.2
2022-02-02,21.8
2022-02-03,21.0
2022-02-04,21.0
2022-02-07,21.0
2022-02-08,20.8
2022-02-09,20.8
2022-02-10,21.0
2022-02-11,21.2
2022-02-14,19.9
2022-02-15,21.4
2022-02-16,21.6
2022-02-17,22.2
2022-02-18,22.0
2022-02-21,20.8
2022-02-22,18.6
2022-02-23,18.5
2022-02-24,14.4
2022-02-25,16.3
2022-02-28,15.5
2022-03-01,10.9
2022-03-02,10.0
2022-03-03,8.15
2022-03-04,9.1
2022-03-07,8.5
2022-03-08,10.6
2022-03-09,13.4
2022-03-10,12.3
2022-03-11,9.0
2022-03-14,11.0
2022-03-15,10.0
