ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date
0Q2.F,"Q2 HLDGS INC.    DL-,0001",Unknown,—,EUR,29,A1XEYE,
0QF.F,"MODERNA INC.     DL-,0001",Biotech & Nanotech,USA,EUR,20,A2N9D9,
0QH.F,"RIMINI STREET    DL-,0001",Unknown,—,EUR,50,A2GSYB,
0QL0.F,VIRGIN GAL.HLDGS NEW O.N.,Unknown,—,EUR,50,A40EFX,
0QQA.F,"FLEX LNG LTD       DL-,10",Unknown,—,EUR,28,A2PFGD,
0R1.F,ROYAL UNIBREW NAM.   DK 2,Unknown,—,EUR,41,A14R8E,
0R6.F,RESTAURANT BRANDS INTL,Hospitality and Tourism,Canada,EUR,20,A12GMA,
0R7.F,"ROBERTET SA INH.  EO 2,50",Others,France,EUR,30,876736,
0RL0.F,"RESERVOIR MEDIA  DL-,0001",Unknown,—,EUR,28,A3CWGA,
0S1.DE,"ONEMAIN HOLDINGS   DL-,01",Unknown,—,EUR,31,A2ABC0,
0S6.F,"CERENCE INC.      DL-,001",Unknown,—,EUR,44,A2PRLS,
0SE0.F,SEZZLE INC.       O.N.,Unknown,—,EUR,11,A3EGAB,
0SU.F,"DIGITALOCEAN HLD.-,000025",Internet & Software,USA,EUR,10,A2QRZ4,
0SZ.F,"READY CAPITAL   DL.-,0001",Unknown,—,EUR,48,A2N6VM,
0T5.F,"TURNING POINT BRA. DL-,01",Unknown,—,EUR,18,A2AKAM,
0TB.F,THERAVANCE BIOPHARMA,Unknown,—,EUR,35,A1137V,
0UB.DE,"UBS GROUP AG      SF -,10",Banking & Finance,Switzerland,EUR,7,A12DFH,
0UI.F,"AMERICAN COASTAL DL-,0001",Unknown,—,EUR,28,A1KAG3,
0V4.F,"VALVOLINE INC.    DL-,01",Unknown,—,EUR,31,A2ARFC,
0V6.SG,"VISTRA ENERGY CORP DL-,01",Unknown,—,EUR,9,A2DJE5,
0VD.F,UNIVERSAL MUSIC GROUP EO1,Others,Netherlands,EUR,44,A3C291,
0VN.F,FRONTIER GROUP HLDGS INC.,Unknown,—,EUR,46,A2DS7T,
0WE.F,"WEATHERFORD INTL DL -,001",Unknown,—,EUR,19,A116P6,
0WJ.F,"KARAT PACKAGING  DL -,001",Unknown,—,EUR,39,A2PTTD,
0WKA.F,"WORKIVA INC. A    DL-,001",Unknown,—,EUR,28,A12GL6,
0X5.F,GL EVENTS S.A.       EO 4,Unknown,—,EUR,50,632297,
0XQ.F,"VIRTRA INC.   DL -,0001",Unknown,—,EUR,50,A2JE8P,
0YB0.F,"IONQ INC. CL.A   DL-,0001",Unknown,—,EUR,20,A3C4QT,
0YE.F,"YEXT INC.        DL 0,001",Internet & Software,USA,EUR,50,A2DNPH,
0YK.F,"VERRA MOBILITY A DL-,0001",Unknown,—,EUR,50,A2N7W1,
0YU.F,"YUM CHINA HLDGS    DL-,01",Unknown,—,EUR,39,A2ARTP,
0Z2.F,ALECTOR INC.,Unknown,—,EUR,50,A2PCBM,
0ZA.F,"RANPAK HLD. CL.A DL-,0001",Unknown,—,EUR,40,A2PLRS,
0ZC.DE,"ZSCALER INC.      DL-,001",Internet & Software,USA,EUR,11,A2JF28,
0ZG.F,"ZILLOW GROUP       DL-,01",Unknown,—,EUR,28,A14NX6,
10D.F,"NAVIENT CORP.      DL-,01",Banking & Finance,USA,EUR,36,A11132,
10V.F,IMMUNIC INC. NEW     O.N.,Unknown,—,EUR,29,A428WY,
1170.F,ARISTA NET.INC. NEW O.N.,Unknown,—,EUR,11,A40V33,
11H.F,HERITAGE IN.HLDGS DL-0001,Unknown,—,EUR,31,A113GG,
11N.F,"DNOW INC           DL-,01",Various services,USA,EUR,41,A113R6,
12F.MU,FORTIS INC.,Energy & Water,Canada,EUR,31,881347,
12V.F,"VERACYTE INC.     DL-,001",Unknown,—,EUR,29,A1W7EA,
12X1.F,"ANAVEX LIFE SCI.  DL-,001",Unknown,—,EUR,50,A1411S,
137.F,"ALDEYRA THERAPEUT.DL-,001",Unknown,—,EUR,50,A111X8,
13K.F,"KENNEDY-WILSON   DL-,0001",Real Estate,USA,EUR,50,A0YFMB,
14N1.SG,"RITHM CAPITAL CORP.DL-,01",Unknown,—,EUR,19,A12DW2,
15PA.SG,"ALTICE USA INC. REGISTERED SHARES CL.A DL -,01",Telecommunications,USA,EUR,45,A2DTR8,
15R.F,"MAGNITE INC.    DL-,00001",Internet & Software,USA,EUR,28,A2P75A,
163.F,"ACUSHNET HLDGS.CORP -,001",Unknown,—,EUR,29,A2ATTR,
169.F,AEROPORTO GUG.MARCO.D.BO.,Unknown,—,EUR,50,A14WKT,
16A.F,CLARIVATE PLC,Unknown,—,EUR,48,A2PLSH,
16NA.F,BEAM GLOBAL INC.DL-001,Unknown,—,EUR,49,A2QDBZ,
17M.DE,"MOELIS+CO. A       DL-,01",Unknown,—,EUR,43,A1XDZ8,
17P0.F,"PAYSAFE LTD       DL-,001",Unknown,—,EUR,41,A3DZYY,
185.DE,ALCOA CORP,Resources,USA,EUR,19,A2ASZ7,
18I.F,"ADIENT PLC        DL-,001",Unknown,—,EUR,31,A2AT0H,
18LB.F,"LATOUR INV. B  SK-,208325",Unknown,—,EUR,48,A2DY0M,
19H.SG,"HERCULES CAP INC. DL-,001",Unknown,—,EUR,30,A0ERTZ,
19KA.F,"CORMEDIX INC.     DL-,001",Unknown,—,EUR,39,A2PF3G,
19P.F,"PHREESIA INC.      DL-,01",Unknown,—,EUR,32,A2PMY3,
19S.F,"SABRE CORP.       DL -,01",Internet & Software,USA,EUR,48,A111QT,
19T.F,"IDORSIA AG         SF-,05",Pharma & Cosmetics,Switzerland,EUR,49,A2DTEB,
19V.SG,"VAT GROUP AG      SF -,10",Others,Switzerland,EUR,21,A2AGGY,
19X.F,AXSOME THERAPEUT. DL-0001,Unknown,—,EUR,9,A2AA7B,
1A7.DE,ALLISON TRANSMISSION HLDG.INC.,Unknown,—,EUR,10,A1JGSV,
1AE.SG,"ARGENX SE EO -,10",Biotech & Nanotech,Netherlands,EUR,25,A11602,
1AL.F,ALAMOS GOLD (NEW),Resources,Canada,EUR,30,A14WBB,
1AM.F,ALM. BRAND A/S NAM. DK 10,Unknown,—,EUR,19,886785,
1AW.DE,"ARGAN INC.         DL-,15",Unknown,—,EUR,14,784598,
1B8.DE,"ONDAS INC.       DL-,0001",Unknown,—,EUR,25,A2QLNR,
1BN.F,ABITARE IN S.P.A.,Unknown,—,EUR,36,A3CRFJ,
1C5.F,CITIZENS FINANCIAL GROUP INC.,Banking & Finance,USA,EUR,19,A12BD3,
1CG.F,"CRISPR THERAPEUT. SF -,03",Unknown,—,EUR,30,A2AT0Z,
1CK.F,CK ASSET HLDGS       O.N.,Others,Hongkong,EUR,50,A2GSU2,
1COV.F,COVESTRO AG  O.N.,Others,Germany,EUR,25,606214,
1D4.F,DOUBLEVIEW GOLD CORP.,Unknown,—,EUR,50,A1W038,
1DN.F,DONNELLEY FIN. SOL. DL-01,Unknown,—,EUR,30,A2AR3K,
