ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date,med_turnover,isin,home
SPPI.US,SPPI,Unknown,USA,EUR,25,,2023-08-04,5787399.67380676,US84763A1088,SPPI.US
BRFS.US,BRFS,Unknown,USA,EUR,25,,2025-09-22,9884083.337864235,US10552T1079,BRFS.US
PGS.OL,PGS,Unknown,Norway,EUR,25,,2024-07-22,4833560.974934205,NO0010199151,PGS.OL
PRO.US,PRO,Unknown,USA,EUR,25,,2025-12-08,8214212.877502074,US74346Y1038,PRO.US
BIOT.ST,BIOT,Unknown,Sweden,EUR,25,,2025-07-21,1023108.182783144,SE0000454746,BIOT.ST
MODV.US,MODV,Unknown,USA,EUR,25,,2025-09-04,4516547.027279531,US60783X1046,MODV.US
QIWI.US,QIWI,Unknown,USA,EUR,25,,2024-09-04,1757651.0807944003,US74735M1080,QIWI.US
RDFN.US,RDFN,Unknown,USA,EUR,25,,2025-06-30,29173794.474185646,US75737F1084,RDFN.US
RCDO.LSE,RCDO,Unknown,UK,EUR,25,,2025-10-08,188952.76971190562,GB0007370074,RCDO.LSE
RAD.US,RAD,Unknown,USA,EUR,25,,2023-12-15,34686578.79460159,US7677548726,RAD.US
RVNC.US,RVNC,Unknown,USA,EUR,25,,2025-02-06,7894205.924114907,US7613301099,RVNC.US
SAVE.US,SAVE,Unknown,USA,EUR,25,,2024-11-18,44088547.026125334,US8485771021,SAVE.US
SPWR_old.US,SPWR_old,Unknown,USA,EUR,25,,2024-08-15,23206960.773166575,US8676524064,SPWR_old.US
SFE.US,SFE,Unknown,USA,EUR,25,,2024-02-09,199417.25944388527,US7864492076,SFE.US
SAGE.US,SAGE,Unknown,USA,EUR,25,,2025-07-31,25525086.182158455,US78667J1088,SAGE.US
THS.US,THS,Unknown,USA,EUR,25,,2026-02-10,18731379.757816736,US89469A1043,THS.US
TKWY.AS,TKWY,Unknown,Netherlands,EUR,25,,2025-11-14,22539757.5925,NL0012015705,TKWY.AS
VOXX.US,VOXX,Unknown,USA,EUR,25,,2025-04-01,576546.7358645179,US91829F1049,VOXX.US
VRNT.US,VRNT,Unknown,USA,EUR,25,,2025-11-26,12471341.006078199,US92343X1000,VRNT.US
FL.US,FL,Unknown,USA,EUR,25,,2025-09-05,74734463.32006125,US3448491049,FL.US
