Code,Name,Isin,Country,Exchange,Currency,Type
AFL,Aflac Incorporated,US0010551028,Germany,XETRA,EUR,Common Stock
AGB2,Agrana Beteiligungs AG,AT000AGRANA3,Germany,XETRA,EUR,Common Stock
AGJ,Agco Corp.,US0010841023,Germany,XETRA,EUR,Common Stock
AH9,AMC Entertainment Holdings Inc,US00165C1045,Germany,XETRA,EUR,Common Stock
AHC,Hess Corporation,US42809H1077,Germany,XETRA,EUR,Common Stock
AINN,American International Group Inc,US0268747849,Germany,XETRA,EUR,Common Stock
AK3,Akamai Technologies Inc,US00971T1016,Germany,XETRA,EUR,Common Stock
ALI,Almonty Industries Inc,CA0203981034,Germany,XETRA,EUR,Common Stock
AM3D,SLM Solutions Group AG,DE000A111338,Germany,XETRA,EUR,Common Stock
AMMN,Grounds Real Estate Development AG,DE000A2GSVV5,Germany,XETRA,EUR,Common Stock
ANL,Analog Devices Inc,US0326541051,Germany,XETRA,EUR,Common Stock
AO1B,Accell Group NV,NL0009767532,Germany,XETRA,EUR,Common Stock
AOX,alstria office REIT-AG,DE000A0LD2U1,Germany,XETRA,EUR,Common Stock
APPH,Apontis Pharma AG,DE000A3CMGM5,Germany,XETRA,EUR,Common Stock
AR4,AURELIUS Equity Opportunities SE & Co. KGaA,DE000A0JK2A8,Germany,XETRA,EUR,Common Stock
ARL,Aareal Bank AG,DE0005408116,Germany,XETRA,EUR,Common Stock
ARL0,Aareal Bank AG,DE000A30U9F9,Germany,XETRA,EUR,Common Stock
ART,artnet AG Namens-Aktien o.N.,DE000A1K0375,Germany,XETRA,EUR,Common Stock
ASL,Akasol AG,DE000A2JNWZ9,Germany,XETRA,EUR,Common Stock
ATD,Allegheny Technologies Incorporated,US01741R1023,Germany,XETRA,EUR,Common Stock
AUD,Autodesk Inc.,US0527691069,Germany,XETRA,EUR,Common Stock
AUS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,Germany,XETRA,EUR,Common Stock
AVES,Aves One AG,DE000A168114,Germany,XETRA,EUR,Common Stock
AXJ,Equitable Holdings Inc,US29452E1010,Germany,XETRA,EUR,Common Stock
B4B,Metro AG,DE000BFB0019,Germany,XETRA,EUR,Common Stock
B4B3,Metro AG vz. (Pref Shares),DE000BFB0027,Germany,XETRA,EUR,Common Stock
B5A,Bauer AG,DE0005168108,Germany,XETRA,EUR,Common Stock
B8A,BAVARIA Industries Group AG,DE0002605557,Germany,XETRA,EUR,Common Stock
B8F,Biofrontera AG,DE0006046113,Germany,XETRA,EUR,Common Stock
BBDB,Bombardier Inc,CA0977512007,Germany,XETRA,EUR,Common Stock
BBVA,Banco Bilbao Vizcaya Argentaria S.A,ES0113211835,Germany,XETRA,EUR,Common Stock
BBY,Bed Bath & Beyond Inc,US0758961009,Germany,XETRA,EUR,Common Stock
BIO,Biotest Aktiengesellschaft,DE0005227201,Germany,XETRA,EUR,Common Stock
BIO0,BIO0,DE000A3E5ES0,Germany,XETRA,EUR,Common Stock
BIO1,BIO1,DE000A3E5ET8,Germany,XETRA,EUR,Common Stock
BIO2,BIO2,DE000A3MQDG4,Germany,XETRA,EUR,Common Stock
BIO3,Biotest Aktiengesellschaft,DE0005227235,Germany,XETRA,EUR,Common Stock
BIRG,Bank Of Ireland Group plc,IE00BD1RP616,Germany,XETRA,EUR,Common Stock
BMSA,Braas Monier Building Group S.a.,LU1075065190,Germany,XETRA,EUR,Common Stock
BNT1,EYEMAXX Real Estate AG,DE000A0V9L94,Germany,XETRA,EUR,Common Stock
BPE,BP DT Z,GB0007980591,Germany,XETRA,EUR,Common Stock
BT81,BT81,GB00B4WQVY43,Germany,XETRA,EUR,Common Stock
BTBB,Sleepz AG,DE000A2E3772,Germany,XETRA,EUR,Common Stock
BTL,Baxter International Inc,US0718131099,Germany,XETRA,EUR,Common Stock
BTQ,BT Group plc,GB0030913577,Germany,XETRA,EUR,Common Stock
C0M,Compleo Charging Solutions AG,DE000A2QDNX9,Germany,XETRA,EUR,Common Stock
C1V,mVISE AG,DE0006204589,Germany,XETRA,EUR,Common Stock
CC1,Consus Real Estate AG,DE000A2DA414,Germany,XETRA,EUR,Common Stock
CE2,CropEnergies AG,DE000A0LAUP1,Germany,XETRA,EUR,Common Stock
CEC1,Ceconomy AG,DE0007257537,Germany,XETRA,EUR,Common Stock
CEV,CENTROTEC Sustainable AG,DE0005407506,Germany,XETRA,EUR,Common Stock
CGN,Cigna Corporation,US1255231003,Germany,XETRA,EUR,Common Stock
CH1A,C.h. Robinson Worldwide Inc.,US12541W2098,Germany,XETRA,EUR,Common Stock
CIT,Cintas Corporation,US1729081059,Germany,XETRA,EUR,Common Stock
CLRN,Clariant AG,CH0012142631,Germany,XETRA,EUR,Common Stock
CMTX,Lyxor Core Euro Government Bond,LU2329745918,Germany,XETRA,EUR,Common Stock
CNW,co.don AG,DE000A3E5C08,Germany,XETRA,EUR,Common Stock
CO3A,Coty Inc,US2220702037,Germany,XETRA,EUR,Common Stock
COM,comdirect bank AG,DE0005428007,Germany,XETRA,EUR,Common Stock
COP,CompuGroup Medical SE & Co. KGaA,DE000A288904,Germany,XETRA,EUR,Common Stock
CORE,Coreo AG,DE000A0B9VV6,Germany,XETRA,EUR,Common Stock
COZ,Cognizant Technology Solutions Corp.,US1924461023,Germany,XETRA,EUR,Common Stock
CPX,capsensixx AG,DE000A2G9M17,Germany,XETRA,EUR,Common Stock
CQD,CHARTER COM. CL. A,US16119P1084,Germany,XETRA,EUR,Common Stock
CRZK,CR Capital AG,DE000A2GS625,Germany,XETRA,EUR,Common Stock
CSC,Campbell Soup Co.,US1344291091,Germany,XETRA,EUR,Common Stock
CSQ,creditshelf Aktiengesellschaft,DE000A2LQUA5,Germany,XETRA,EUR,Common Stock
CUM,Cummins Inc.,US2310211063,Germany,XETRA,EUR,Common Stock
CURK,curasan AG,DE000A2YPGM4,Germany,XETRA,EUR,Common Stock
CXU,Church & Dwight Co. Inc.,US1713401024,Germany,XETRA,EUR,Common Stock
CYTH,Lumen Technologies Inc,US5502411037,Germany,XETRA,EUR,Common Stock
DBD,Diebold Nixdorf Inc,US2536511031,Germany,XETRA,EUR,Common Stock
DBI,Deutsche Biotech Innovativ AG,DE000A0Z25L1,Germany,XETRA,EUR,Common Stock
DC7,Discover Financial Services,US2547091080,Germany,XETRA,EUR,Common Stock
DFV,DFV Deutsche Familienversicherung AG,DE000A2NBVD5,Germany,XETRA,EUR,Common Stock
DIC,DIC Asset AG,DE000A1X3XX4,Germany,XETRA,EUR,Common Stock
DIS,Diskus Werke AG,DE0005538607,Germany,XETRA,EUR,Common Stock
DLG,Dialog Semiconductor Plc,GB0059822006,Germany,XETRA,EUR,Common Stock
DP4B,A.P. Møller - Mærsk A/S,DK0010244508,Germany,XETRA,EUR,Common Stock
DPWA,DEUTSCHE POST SPONS.ADR,US25157Y2028,Germany,XETRA,EUR,Common Stock
DRI,1&1 Drillisch AG,DE0005545503,Germany,XETRA,EUR,Common Stock
DY2,DENTSPLY International Inc,US24906P1093,Germany,XETRA,EUR,Common Stock
E8X,elexxion AG,DE000A0KFKH0,Germany,XETRA,EUR,Common Stock
EBE,aifinyo AG,DE000A2G8XP9,Germany,XETRA,EUR,Common Stock
ECV,Encavis AG,DE0006095003,Germany,XETRA,EUR,Common Stock
ECX,Epigenomics AG,DE000A11QW50,Germany,XETRA,EUR,Common Stock
ED01,Endomines AB,SE0008294334,Germany,XETRA,EUR,Common Stock
EFF,Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG,DE0008041005,Germany,XETRA,EUR,Common Stock
ELO1,ELO1,CA2849025093,Germany,XETRA,EUR,Common Stock
EM8,EM8,IT0005143547,Germany,XETRA,EUR,Common Stock
EMH1,pferdewetten.de AG,DE000A1K0409,Germany,XETRA,EUR,Common Stock
EOT,Dish Network Corp,US25470M1099,Germany,XETRA,EUR,Common Stock
EQS,EQS Group AG,DE0005494165,Germany,XETRA,EUR,Common Stock
ERO,tmc Content Group AG,CH0557519201,Germany,XETRA,EUR,Common Stock
ERO1,tmc Content Group AG,CH0016458363,Germany,XETRA,EUR,Common Stock
ERT,Electronic Arts Inc,US2855121099,Germany,XETRA,EUR,Common Stock
ESWB,ESWB,SE0009922164,Germany,XETRA,EUR,Common Stock
ESY,Easy Software AG,DE0005634000,Germany,XETRA,EUR,Common Stock
ETE,Ekotechnika AG,DE000A161234,Germany,XETRA,EUR,Common Stock
EUCA,euromicron AG,DE000A1K0300,Germany,XETRA,EUR,Common Stock
EV4,Constantin Medien AG,DE0009147207,Germany,XETRA,EUR,Common Stock
EVZ,EVRAZ plc,GB00B71N6K86,Germany,XETRA,EUR,Common Stock
EW1,Expeditors International of Washington Inc,US3021301094,Germany,XETRA,EUR,Common Stock
EXC,exceet Group SCA,LU0472835155,Germany,XETRA,EUR,Common Stock
EXJ_old,Readcrest Capital AG,DE000A1E89S5,Germany,XETRA,EUR,Common Stock
FBEN,Fyber N.V,NL0014433377,Germany,XETRA,EUR,Common Stock
FF24,Fast Finance 24 Holding AG,DE000A1PG508,Germany,XETRA,EUR,Common Stock
FFV,F5 Networks Inc.,US3156161024,Germany,XETRA,EUR,Common Stock
FIV,Fiserv Inc,US3377381088,Germany,XETRA,EUR,Common Stock
FMEN,Fresenius Medical Care AG & Co. KGaA,DE000A3MQCP7,Germany,XETRA,EUR,Common Stock
FO4N,ageas SA/NV,BE0974264930,Germany,XETRA,EUR,Common Stock
