Local_ID,Name,Country,Sector,Bid,Ask
A3DM8U,"FASTIG.AB BALD. B SK 0,16",,,4.7180 €,4.7570 €
A2PH9T,"FASTLY INC. CL.ADL-,00002",USA,Internet & Software,15.9400 €,16.0400 €
865508,FDK CORP.,,,2.7400 €,2.7600 €
856099,FED.NATL MTGE ASS.,USA,Banking & Finance,5.6000 €,5.6400 €
914304,FEDERATED HERMES,USA,Banking & Finance,50.0000 €,50.5000 €
905428,FEINTOOL INTERNATIONAL HOLDING AG (N) (FIH),Switzerland,Machinery & Equipment,10.5000 €,10.6000 €
A1166U,FIDELITY NATL FINL. FNF,USA,Insurance,41.4000 €,41.6000 €
925298,FIRST CITIZ.BCSHS A   DL1,,,"1,820.0000 €","1,830.0000 €"
923774,"FIRST FIN. BANKSHS DL-,01",,,29.0000 €,29.2000 €
A2DRG8,FIVE PT.HLDGS CL.AREP.,,,4.4400 €,4.4800 €
A40G3V,FLAGSTAR FINANCIAL,,,12.8800 €,12.9600 €
A2AJEP,FLUGHAFEN ZÜRICH,Switzerland,Various services,255.0000 €,256.0000 €
915671,FOM.ECO.MEX.S.D.CV ADR/10,,,112.0000 €,113.0000 €
883790,FOMENT.CON.CONTR.INH.EO 1,Spain,Construction & Construction Materials,11.6400 €,11.6800 €
A0MLBG,"FONCIERE INEA SA EO 14,39",,,32.9000 €,33.2000 €
A2AJSS,FOR FARMERS BV       EO 1,Netherlands,Others,6.3700 €,6.4200 €
A4224U,FOR.PWR.SOL.INC. O.N.,,,51.3000 €,51.5000 €
A41M8H,"FORUM MARKETS NEWDL-,0001",,,4.6000 €,4.6600 €
A1W2J8,"FOX FACTORY HLDG  DL-,001",,,15.5850 €,15.6750 €
A2AA65,FRANCAISE L'ENERGIE  EO 1,,,39.2000 €,39.7000 €
896476,FREE MCMORAN COP,USA,Others,59.1600 €,59.4000 €
A0LB74,"FUEL TECHS INC.    DL-,01",,,1.1540 €,1.1660 €
861402,FULLER -H.B. CO.     DL 1,USA,Chemistry,54.5000 €,55.0000 €
A3CVT3,GAMBLING.COM GRP  ON,,,2.0600 €,2.0800 €
A1XEHR,"GAZTRANSP.TECHNIG.EO-,01",France,Various services,203.0000 €,203.8000 €
873222,GBL SA,Belgien,Investments & Holdings,80.5000 €,80.5500 €
A0CACX,"GEELY AUTO. HLDGS  HD-,02",China,Vehicles,2.0990 €,2.1145 €
A2ANH9,"GENCO SHIP.+TRDG   DL-,01",,,20.7400 €,20.8600 €
850312,GENERAL ASIC,Italy,Insurance,40.9800 €,41.1100 €
853862,"GENL MILLS        DL -,10",USA,Food,29.6400 €,29.7600 €
A1WZYB,GENMAB AS SP.ADR/1/10DK 1,,,21.6000 €,21.8000 €
A0CA8M,"GENWORTH FIL CL.A DL-,001",USA,Banking & Finance,7.6500 €,7.7000 €
929043,"GETTY RLTY CORP.   DL-,01",,,28.8400 €,28.9000 €
A0RMT2,GIVAUDAN ADR 1/50/SF 10,,,68.5000 €,69.5000 €
